in s,C1 in V
-2.96312E-04,-1.202E+00
-2.96306E-04,-1.163E+00
-2.96301E-04,-1.085E+00
-2.96296E-04,-1.134E+00
-2.96291E-04,-1.046E+00
-2.96286E-04,-1.036E+00
-2.96280E-04,-1.007E+00
-2.96275E-04,-1.007E+00
-2.96270E-04,-9.482E-01
-2.96265E-04,-9.482E-01
-2.96260E-04,-8.994E-01
-2.96254E-04,-9.189E-01
-2.96249E-04,-8.604E-01
-2.96244E-04,-8.311E-01
-2.96239E-04,-7.920E-01
-2.96234E-04,-8.018E-01
-2.96228E-04,-7.725E-01
-2.96223E-04,-7.822E-01
-2.96218E-04,-7.236E-01
-2.96213E-04,-7.334E-01
-2.96208E-04,-6.846E-01
-2.96202E-04,-7.139E-01
-2.96197E-04,-6.650E-01
-2.96192E-04,-6.943E-01
-2.96187E-04,-6.650E-01
-2.96182E-04,-6.748E-01
-2.96176E-04,-6.357E-01
-2.96171E-04,-6.553E-01
-2.96166E-04,-6.455E-01
-2.96161E-04,-6.455E-01
-2.96156E-04,-6.260E-01
-2.96150E-04,-6.455E-01
-2.96145E-04,-6.455E-01
-2.96140E-04,-6.455E-01
-2.96135E-04,-6.357E-01
-2.96130E-04,-6.846E-01
-2.96124E-04,-6.846E-01
-2.96119E-04,-7.139E-01
-2.96114E-04,-6.846E-01
-2.96109E-04,-7.139E-01
-2.96104E-04,-7.529E-01
-2.96098E-04,-7.432E-01
-2.96093E-04,-7.236E-01
-2.96088E-04,-7.822E-01
-2.96083E-04,-7.529E-01
-2.96078E-04,-8.018E-01
-2.96072E-04,-7.920E-01
-2.96067E-04,-8.701E-01
-2.96062E-04,-8.604E-01
-2.96057E-04,-8.896E-01
-2.96052E-04,-8.408E-01
-2.96046E-04,-9.092E-01
-2.96041E-04,-9.092E-01
-2.96036E-04,-9.482E-01
-2.96031E-04,-9.580E-01
-2.96026E-04,-1.007E+00
-2.96020E-04,-1.007E+00
-2.96015E-04,-1.056E+00
-2.96010E-04,-1.036E+00
-2.96005E-04,-1.095E+00
-2.96000E-04,-1.095E+00
-2.95994E-04,-1.114E+00
-2.95989E-04,-1.134E+00
-2.95984E-04,-1.192E+00
-2.95979E-04,-1.183E+00
-2.95974E-04,-1.231E+00
-2.95968E-04,-1.192E+00
-2.95963E-04,-1.271E+00
-2.95958E-04,-1.271E+00
-2.95953E-04,-1.290E+00
-2.95948E-04,-1.290E+00
-2.95942E-04,-1.310E+00
-2.95937E-04,-1.339E+00
-2.95932E-04,-1.358E+00
-2.95927E-04,-1.339E+00
-2.95922E-04,-1.407E+00
-2.95916E-04,-1.388E+00
-2.95911E-04,-1.427E+00
-2.95906E-04,-1.378E+00
-2.95901E-04,-1.437E+00
-2.95896E-04,-1.417E+00
-2.95890E-04,-1.427E+00
-2.95885E-04,-1.397E+00
-2.95880E-04,-1.456E+00
-2.95875E-04,-1.446E+00
-2.95870E-04,-1.446E+00
-2.95864E-04,-1.427E+00
-2.95859E-04,-1.485E+00
-2.95854E-04,-1.437E+00
-2.95849E-04,-1.437E+00
-2.95844E-04,-1.397E+00
-2.95838E-04,-1.456E+00
-2.95833E-04,-1.427E+00
-2.95828E-04,-1.437E+00
-2.95823E-04,-1.388E+00
-2.95818E-04,-1.427E+00
-2.95812E-04,-1.417E+00
-2.95807E-04,-1.427E+00
-2.95802E-04,-1.358E+00
-2.95797E-04,-1.407E+00
-2.95792E-04,-1.319E+00
-2.95786E-04,-1.378E+00
-2.95781E-04,-1.319E+00
-2.95776E-04,-1.349E+00
-2.95771E-04,-1.290E+00
-2.95766E-04,-1.339E+00
-2.95760E-04,-1.261E+00
-2.95755E-04,-1.280E+00
-2.95750E-04,-1.231E+00
-2.95745E-04,-1.261E+00
-2.95740E-04,-1.212E+00
-2.95734E-04,-1.280E+00
-2.95729E-04,-1.231E+00
-2.95724E-04,-1.202E+00
-2.95719E-04,-1.163E+00
